# timestamp tx ty tz qx qy qz qw
1520530308.299449920654 0.000013597261 0.000045530181 -0.000052058193 0.000012886575 0.000006426431 0.999999999730 0.000018238396
1520530309.999619960785 -0.017814077392 -0.012359038875 -0.006628896721 -0.013000440783 0.012880883703 0.999738312552 -0.013725078858
1520530310.049619913101 -0.017649982194 -0.013613642319 -0.006893136750 -0.012157023897 0.012288214961 0.999773496168 -0.012416235429
1520530310.099630117416 -0.016826662199 -0.013873692217 -0.006565327626 -0.011228469811 0.011382490034 0.999814451790 -0.010743480699
1520530310.149630069733 -0.017090928270 -0.013986777047 -0.006553480560 -0.011395076562 0.011071961096 0.999827149060 -0.009655874432
1520530310.199630022049 -0.017306319904 -0.014068629873 -0.007085456998 -0.013061204022 0.010631670724 0.999806723488 -0.010143381806
1520530310.249730110168 -0.017160189857 -0.013204726933 -0.007590270316 -0.014524957206 0.010270431021 0.999767125878 -0.012216295577
1520530310.299629926682 -0.017431263545 -0.012599349379 -0.008462482055 -0.016478119274 0.010152102260 0.999696167819 -0.015263631736
1520530310.349630117416 -0.017814819187 -0.012176755465 -0.009257401574 -0.018182155167 0.010013628288 0.999618010106 -0.018247475249
1520530310.399620056152 -0.017582596465 -0.011567312043 -0.009110045529 -0.018808946770 0.009665802447 0.999584477883 -0.019587428628
1520530310.449630022049 -0.017064930832 -0.011729432558 -0.008926151842 -0.018708794994 0.008771640820 0.999602516947 -0.019179348801
1520530310.499629974365 -0.017884211637 -0.012143518160 -0.008590188113 -0.018493513473 0.008277143356 0.999636804247 -0.017769030698
1520530310.549629926682 -0.017302766354 -0.012632867733 -0.008488451049 -0.018192392509 0.007513615929 0.999668349328 -0.016606437979
1520530310.599630117416 -0.017202616120 -0.012927785227 -0.008291280054 -0.018032474337 0.007258252738 0.999681369848 -0.016102993974
1520530310.649630069733 -0.017252358966 -0.012765576565 -0.008152911862 -0.018596356469 0.006999394327 0.999663235473 -0.016691304593
1520530310.699630022049 -0.017104435950 -0.012226033066 -0.008526074507 -0.019229815317 0.006357029463 0.999630104981 -0.018150911671
1520530310.749639987946 -0.017293545731 -0.011789225562 -0.008259008190 -0.019759727839 0.005709357764 0.999592336344 -0.019801957288
1520530310.799649953842 -0.016846057268 -0.011400603846 -0.008692234385 -0.020007402260 0.005709285140 0.999553471921 -0.021446787353
